modelo,realizacion,clustering,distancia_media_CG,diametro_CG,asortatividad,fraccion_componente_gigante,componentes
"Erdos-Renyi G(n,m)",80,0.025988700564971753,5.924317617866005,14,0.04003739533371298,0.8813559322033898,19
"Erdos-Renyi G(n,m)",81,0.001694915254237288,5.685343325200418,16,0.038343558282208395,0.8587570621468926,22
"Erdos-Renyi G(n,m)",82,0.013935969868173258,5.603625673689368,12,-0.0795480972839321,0.8870056497175142,19
"Erdos-Renyi G(n,m)",83,0.0,5.294004879749042,11,-0.019557203717193727,0.8587570621468926,21
"Erdos-Renyi G(n,m)",84,0.020231369383911756,5.616422287390029,12,0.09987195902688824,0.8757062146892656,18
"Erdos-Renyi G(n,m)",85,0.014514393327952648,5.394613686534217,12,0.02172456694420541,0.8531073446327684,20
"Erdos-Renyi G(n,m)",86,0.004344901802528921,5.469727047146402,13,0.05431437459451316,0.8813559322033898,19
"Erdos-Renyi G(n,m)",87,0.023917137476459512,5.453473607836024,11,0.019318566114304273,0.8418079096045198,23
"Erdos-Renyi G(n,m)",88,0.011191821361312887,5.696932729173928,15,0.003415168503124975,0.8587570621468926,21
"Erdos-Renyi G(n,m)",89,0.007909604519774011,5.62077922077922,12,0.07545334755600186,0.8757062146892656,19
"Erdos-Renyi G(n,m)",90,0.0018832391713747645,5.5274444969296175,16,0.14729255635136787,0.8248587570621468,23
"Erdos-Renyi G(n,m)",91,0.0021522733387140166,5.518422962186568,12,-0.07721963941489965,0.8926553672316384,15
"Erdos-Renyi G(n,m)",92,0.0021522733387140166,5.480774127832952,14,0.054098297511748855,0.8700564971751412,21
"Erdos-Renyi G(n,m)",93,0.02937853107344633,5.538248847926267,12,0.09047020025158922,0.8757062146892656,21
"Erdos-Renyi G(n,m)",94,0.002448210922787194,5.318693134822167,10,-0.09793683340486042,0.8813559322033898,18
"Erdos-Renyi G(n,m)",95,0.004708097928436911,5.773977987421383,13,-0.07836967346852267,0.903954802259887,18
"Erdos-Renyi G(n,m)",96,0.012241054613935971,5.528981768145854,15,0.030394138202236007,0.864406779661017,22
"Erdos-Renyi G(n,m)",97,0.0,5.747670807453416,14,-0.011539680862305298,0.9096045197740112,16
"Erdos-Renyi G(n,m)",98,0.008097928436911489,5.9080516086885515,16,0.11969254359999613,0.8870056497175142,19
"Erdos-Renyi G(n,m)",99,0.013370998116760829,5.6710515291160455,12,0.08722104412804091,0.8757062146892656,20
"Erdos-Renyi G(n,m)",100,0.008259348937315038,5.3924360602212955,13,0.03337282780410713,0.8418079096045198,22
Configuracion (grado preservado),1,0.017975726500153222,4.293421633554084,10,-0.13001735261997757,0.8531073446327684,13
Configuracion (grado preservado),2,0.009803058357395346,4.205786323235988,9,-0.051368891687938435,0.8418079096045198,14
Configuracion (grado preservado),3,0.02025275783999612,4.25095785440613,9,-0.165724220639568,0.8192090395480226,16
Configuracion (grado preservado),4,0.023293203602276383,4.373138444567016,10,0.03778158924986214,0.8361581920903954,15
Configuracion (grado preservado),5,0.010988103510536211,4.140804597701149,9,-0.13281789128818058,0.8192090395480226,17
Configuracion (grado preservado),6,0.022871740718201333,4.345145413870246,9,-0.13911910329163787,0.847457627118644,14
Configuracion (grado preservado),7,0.017864468163570856,4.168505239933811,8,-0.08707575970752876,0.8361581920903954,15
Configuracion (grado preservado),8,0.016376867473577344,3.97334116265414,8,-0.06607171969600541,0.7401129943502824,23
Configuracion (grado preservado),9,0.019187758993342244,4.066526820497453,9,-0.010527702776642315,0.8022598870056498,18
Configuracion (grado preservado),10,0.0099034066631275,4.209413495127781,9,-0.08730913792987907,0.8361581920903954,15
Configuracion (grado preservado),11,0.02543483066912778,4.04387031408308,8,-0.15568895707850636,0.7966101694915254,18
Configuracion (grado preservado),12,0.03317119349023637,4.058954933954934,8,-0.06747198903010658,0.8135593220338984,17
Configuracion (grado preservado),13,0.012718338491020447,3.9890023566378634,8,0.04128226258511629,0.7570621468926554,21
Configuracion (grado preservado),14,0.013719651531216834,3.966058595909342,9,-0.024997152562358665,0.7627118644067796,21
Configuracion (grado preservado),15,0.006640959756612797,4.018418201516793,8,-0.12581654461767283,0.807909604519774,16
Configuracion (grado preservado),16,0.017639086108677333,4.107581660173809,9,-0.053936052133791296,0.8022598870056498,18
Configuracion (grado preservado),17,0.020799050659469406,4.093211752786221,9,-0.10971344727550467,0.7966101694915254,17
Configuracion (grado preservado),18,0.01326381605544118,4.115524971327286,10,0.03194713369110574,0.7853107344632768,18
Configuracion (grado preservado),19,0.012741741106646392,4.125861552292478,10,-0.04483430146213105,0.8022598870056498,18
Configuracion (grado preservado),20,0.011785830579449721,4.149374206421187,9,-0.1045791263837988,0.8418079096045198,14
Configuracion (grado preservado),21,0.0160807620428757,4.144193216855087,9,-0.03479903790107005,0.7909604519774012,19
Configuracion (grado preservado),22,0.026554655418065183,4.3088235294117645,10,-0.20703216599556473,0.864406779661017,12
Configuracion (grado preservado),23,0.006880440928297357,4.200728848616173,9,-0.08404184281697541,0.807909604519774,17
Configuracion (grado preservado),24,0.008428130711281259,4.189607935758148,9,-0.0002590609932308153,0.8248587570621468,16
Configuracion (grado preservado),25,0.01335804994827926,4.240706401766005,9,-0.09034305482043287,0.8531073446327684,14
Configuracion (grado preservado),26,0.02934036994356038,4.145826423438364,10,0.010943093679581965,0.7627118644067796,21
Configuracion (grado preservado),27,0.01792853761946484,4.305771812080537,10,-0.09687764504623984,0.847457627118644,14
Configuracion (grado preservado),28,0.013645115639133586,4.138592347661786,9,-0.06117077702664967,0.8248587570621468,15
Configuracion (grado preservado),29,0.005497936205812577,4.141366135495294,8,-0.13118424373172854,0.8305084745762712,14
Configuracion (grado preservado),30,0.023832614709982606,4.1349361662473205,10,-0.0782073872582187,0.8305084745762712,16
Configuracion (grado preservado),31,0.013246024312823915,4.080831692913386,9,-0.058370238358446555,0.7231638418079096,23
Configuracion (grado preservado),32,0.014353056750863333,4.11311861743912,9,-0.02756431300821149,0.7570621468926554,20
Configuracion (grado preservado),33,0.01667386009360087,4.055116514690983,10,-0.12371614061652048,0.7966101694915254,18
Configuracion (grado preservado),34,0.017288694282712232,4.2857817666509215,9,-0.15475544418910553,0.8248587570621468,16
