ranking,nodo,campus,capa,funcion_jerarquia,betweenness,B_norm,punto_articulacion,mincut_score_raw,M_norm,n_cortes_campus,campus_cortes,aristas_corte_incidentes,nodos_fuera_GCC_si_falla,percolation_damage,P_norm,tau_cascada_referencia,fallos_totales_cascada,fallos_secundarios_cascada,cascade_secondary_fraction,C_norm,aporte_betweenness,aporte_articulacion,aporte_mincut,aporte_percolacion,aporte_cascada,indice_criticidad
31,ROUTER-CAMPUS-PARAISO,Campus Paraiso,wan,Router WAN de campus,0.10182251082251086,0.22790695233263109,False,0.0,0.0,0,,0,0,0.0,0.0,0.035,10,9,0.05113636363636364,0.24324324324324326,0.05697673808315777,0.0,0.0,0.0,0.07297297297297298,0.12994971105613073
32,CC-AETUC-D30,Campus Central,agregacion,Agregación / distribución,0.03383116883116883,0.0757235165375414,True,0.0,0.0,0,,0,3,0.017045454545454586,0.07142857142857159,0.035,1,0,0.0,0.0,0.01893087913438535,0.1,0.0,0.010714285714285739,0.0,0.12964516484867109
33,CC-PROMAS-D31,Campus Central,agregacion,Agregación / distribución,0.03383116883116883,0.0757235165375414,True,0.0,0.0,0,,0,3,0.017045454545454586,0.07142857142857159,0.035,1,0,0.0,0.0,0.01893087913438535,0.1,0.0,0.010714285714285739,0.0,0.12964516484867109
34,CP-ENFERMERIA-D1,Campus Paraiso,agregacion,Agregación / distribución,0.03383116883116883,0.0757235165375414,True,0.0,0.0,0,,0,3,0.017045454545454586,0.07142857142857159,0.035,1,0,0.0,0.0,0.01893087913438535,0.1,0.0,0.010714285714285739,0.0,0.12964516484867109
35,CCJ-CJURIDICO-D4,Campus Central,agregacion,Agregación / distribución,0.02266233766233766,0.05072458209520528,True,0.045454545454545456,0.045454545454545456,1,Campus Central,2,2,0.011363636363636354,0.047619047619047575,0.035,1,0,0.0,0.0,0.01268114552380132,0.1,0.009090909090909092,0.007142857142857136,0.0,0.12891491175756756
36,BAL-EADM-D3,Campus Balzay,agregacion,Agregación / distribución,0.0225974025974026,0.050579239453098675,True,0.043478260869565216,0.043478260869565216,1,Campus Balzay,1,2,0.011363636363636354,0.047619047619047575,0.035,1,0,0.0,0.0,0.012644809863274669,0.1,0.008695652173913044,0.007142857142857136,0.0,0.12848331918004485
37,CC-BIBLIOTECA-D112,Campus Central,agregacion,Agregación / distribución,0.02266233766233766,0.05072458209520528,True,0.0,0.0,0,,0,2,0.011363636363636354,0.047619047619047575,0.035,1,0,0.0,0.0,0.01268114552380132,0.1,0.0,0.007142857142857136,0.0,0.11982400266665845
38,CC-FILOSOFIA-B-D111,Campus Central,agregacion,Agregación / distribución,0.02266233766233766,0.05072458209520528,True,0.0,0.0,0,,0,2,0.011363636363636354,0.047619047619047575,0.035,1,0,0.0,0.0,0.01268114552380132,0.1,0.0,0.007142857142857136,0.0,0.11982400266665845
39,CC-PSICOLOGIA-D125,Campus Central,agregacion,Agregación / distribución,0.02266233766233766,0.05072458209520528,True,0.0,0.0,0,,0,2,0.011363636363636354,0.047619047619047575,0.035,1,0,0.0,0.0,0.01268114552380132,0.1,0.0,0.007142857142857136,0.0,0.11982400266665845
40,ODO-0C-A53,Campus Paraiso,acceso,Acceso,0.02266233766233766,0.05072458209520528,True,0.0,0.0,0,,0,2,0.011363636363636354,0.047619047619047575,0.035,1,0,0.0,0.0,0.01268114552380132,0.1,0.0,0.007142857142857136,0.0,0.11982400266665845
41,TECQUI-0A-A10,Campus Central,acceso,Acceso,0.02266233766233766,0.05072458209520528,True,0.0,0.0,0,,0,2,0.011363636363636354,0.047619047619047575,0.035,1,0,0.0,0.0,0.01268114552380132,0.1,0.0,0.007142857142857136,0.0,0.11982400266665845
42,POST-1A-A64,Campus Central,acceso,Acceso,0.0225974025974026,0.050579239453098675,True,0.0,0.0,0,,0,2,0.011363636363636354,0.047619047619047575,0.035,1,0,0.0,0.0,0.012644809863274669,0.1,0.0,0.007142857142857136,0.0,0.1197876670061318
43,DT-0A-C12,Campus Balzay,core,Núcleo (core),0.08331761492475781,0.1864878752226496,False,0.0,0.0,0,,0,0,0.0,0.0,0.035,10,9,0.05113636363636364,0.24324324324324326,0.0466219688056624,0.0,0.0,0.0,0.07297297297297298,0.11959494177863537
44,QUIN-1A-A117,Campus Balzay,acceso,Acceso,0.011363636363636364,0.025434962368655945,True,0.043478260869565216,0.043478260869565216,1,Campus Balzay,1,1,0.005681818181818232,0.02380952380952402,0.035,1,0,0.0,0.0,0.006358740592163986,0.1,0.008695652173913044,0.003571428571428603,0.0,0.11862582133750564
45,ROUTER-L2TP-BALZAY,Campus Balzay,wan,WAN / intercampus,0.014206709956709961,0.031798547715556826,False,0.045454545454545456,0.045454545454545456,1,Campus Central,2,0,0.0,0.0,0.035,13,12,0.06818181818181818,0.3243243243243243,0.007949636928889206,0.0,0.009090909090909092,0.0,0.09729729729729729,0.1143378433170956
46,PE1-CENTRAL,Campus Central,wan,Router PE / tránsito WAN,0.06750984333127186,0.1511057085687387,False,0.0,0.0,0,,0,0,0.0,0.0,0.035,10,9,0.05113636363636364,0.24324324324324326,0.037776427142184675,0.0,0.0,0.0,0.07297297297297298,0.11074940011515766
47,AETUC-0A-A76,Campus Central,acceso,Acceso,0.011363636363636364,0.025434962368655945,True,0.0,0.0,0,,0,1,0.005681818181818232,0.02380952380952402,0.035,1,0,0.0,0.0,0.006358740592163986,0.1,0.0,0.003571428571428603,0.0,0.10993016916359259
48,ARQ-0A-A85,Campus Central,acceso,Acceso,0.011363636363636364,0.025434962368655945,True,0.0,0.0,0,,0,1,0.005681818181818232,0.02380952380952402,0.035,1,0,0.0,0.0,0.006358740592163986,0.1,0.0,0.003571428571428603,0.0,0.10993016916359259
49,ARQ-0D-A88,Campus Central,acceso,Acceso,0.011363636363636364,0.025434962368655945,True,0.0,0.0,0,,0,1,0.005681818181818232,0.02380952380952402,0.035,1,0,0.0,0.0,0.006358740592163986,0.1,0.0,0.003571428571428603,0.0,0.10993016916359259
50,ARQ-1E-A91,Campus Central,acceso,Acceso,0.011363636363636364,0.025434962368655945,True,0.0,0.0,0,,0,1,0.005681818181818232,0.02380952380952402,0.035,1,0,0.0,0.0,0.006358740592163986,0.1,0.0,0.003571428571428603,0.0,0.10993016916359259
51,ENF-2B-A22,Campus Paraiso,acceso,Acceso,0.011363636363636364,0.025434962368655945,True,0.0,0.0,0,,0,1,0.005681818181818232,0.02380952380952402,0.035,1,0,0.0,0.0,0.006358740592163986,0.1,0.0,0.003571428571428603,0.0,0.10993016916359259
