nodo,campus,capa,carga_inicial
BLOQUED-0A-A21,Campus Yanuncay,acceso,0.0
CC-BLOQUE-IQ,Campus Central,agregacion,0.0
CCADM-2A-A43,Campus Central,acceso,0.0
CCADM-2A-A44,Campus Central,acceso,0.0
CCADM-2A-A45,Campus Central,acceso,0.0
AUL2-01A-A124-SUBLAB2,Campus Balzay,acceso,0.0
AUL1-3A-A112,Campus Balzay,acceso,0.0
AUL1-3A-A104,Campus Balzay,acceso,0.0
AUL1-2A-A111,Campus Balzay,acceso,0.0
AUL1-2A-A110,Campus Balzay,acceso,0.0
ART-0A-A15,Campus Yanuncay,acceso,0.0
ARQ-1E-A92,Campus Central,acceso,0.0
ARQ-1C-A96,Campus Central,acceso,0.0
ARQ-1C-A86,Campus Central,acceso,0.0
ARQ-0G-A93-CEPAUC,Campus Central,acceso,0.0
ARQ-0D-A90,Campus Central,acceso,0.0
ARQ-0D-A89,Campus Central,acceso,0.0
ARQ-0B-A87,Campus Central,acceso,0.0
ARQ-0A-A84,Campus Central,acceso,0.0
ANF-0A-A14,Campus Yanuncay,acceso,0.0
AGRPRI-1A-A19,Campus Yanuncay,acceso,0.0
AETUCCF-2A-A79,Campus Central,acceso,0.0
CCBIB-1A-A71,Campus Central,acceso,0.0
CCJ-1A-A10,Campus Central,acceso,0.0
CCJ-1A-A11,Campus Central,acceso,0.0
ENF-2B-A122,Campus Paraiso,acceso,0.0
JUR-0A-A60,Campus Central,acceso,0.0
JUR-0A-A59,Campus Central,acceso,0.0
INV-1B-A162,Campus Paraiso,acceso,0.0
INV-1A-A61,Campus Paraiso,acceso,0.0
INV-1A-A161,Campus Paraiso,acceso,0.0
HOS-2A-A11,Campus Hospitalidad,acceso,0.0
HOS-1A-A12,Campus Hospitalidad,acceso,0.0
HOS-0A-A13,Campus Hospitalidad,acceso,0.0
HOS-0A-A10,Campus Hospitalidad,acceso,0.0
FILOB-2A-A57,Campus Central,acceso,0.0
FILOB-1B-A58,Campus Central,acceso,0.0
FILOA-2A-A55,Campus Central,acceso,0.0
AETUC-0A-A97,Campus Central,acceso,0.0
ENF-3A-A21,Campus Paraiso,acceso,0.0
ECOK3-0A-A63,Campus Central,acceso,0.0
CEA-0A-A108,Campus Balzay,acceso,0.0
ECOK2-1A-A52,Campus Central,acceso,0.0
ECOK1-1A-A102,Campus Central,acceso,0.0
ECOK1-1A-A101,Campus Central,acceso,0.0
EA-1A-A116,Campus Balzay,acceso,0.0
EA-1A-A115,Campus Balzay,acceso,0.0
EA-0A-A114,Campus Balzay,acceso,0.0
DAN-1A-A11,Campus Yanuncay,acceso,0.0
CTBLOQ3-0A-A103,Campus Balzay,acceso,0.0
CTBLOQ2-0A-A102,Campus Balzay,acceso,0.0
CTBLOQ1-0A-A101,Campus Balzay,acceso,0.0
CREDU-0B-A94,Campus Central,acceso,0.0
CMED-0A-A42,Campus Central,acceso,0.0
CENDIA-0A-A19,Campus Paraiso,acceso,0.0
CEN-1A-A20,Campus Yanuncay,acceso,0.0
VLIR-0A-A107,Campus Balzay,acceso,0.0
