u,v,campus_u,campus_v,capa_u,capa_v,campus_resumen,capas
CP-POSGRADO-D2,CPAR-C10,Campus Paraiso,Campus Paraiso,agregacion,core,Campus Paraiso,agregacion <-> core
CP-POSGRADO-D2,POS-0A-A31,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-POSGRADO-D2,POS-1B-A32,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-POSGRADO-D2,POS-2C-A33,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-POSGRADO-D2,POSLAB-0D-A34,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-POSGRADO-D2,POS-0A-A131,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-TECMEDICO-D3,CPAR-C10,Campus Paraiso,Campus Paraiso,agregacion,core,Campus Paraiso,agregacion <-> core
CP-TECMEDICO-D3,TECMED-1A-A41,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-TECMEDICO-D3,TECMED-0B-A42,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-TECMEDICO-D3,TECMED-2C-A43,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CP-TECMEDICO-D3,TECMED-3D-A44,Campus Paraiso,Campus Paraiso,agregacion,acceso,Campus Paraiso,acceso <-> agregacion
CPAR-C10,ROUTER-CAMPUS-HUAYNA-CAPAC,Campus Paraiso,Campus Paraiso,core,wan,Campus Paraiso,core <-> wan
ENF-2B-A122,ENF-2B-A22,Campus Paraiso,Campus Paraiso,acceso,acceso,Campus Paraiso,acceso <-> acceso
HOS-0A-A10,HOS-0A-D05,Campus Hospitalidad,Campus Hospitalidad,acceso,agregacion,Campus Hospitalidad,acceso <-> agregacion
HOS-0A-A13,HOS-0A-D05,Campus Hospitalidad,Campus Hospitalidad,acceso,agregacion,Campus Hospitalidad,acceso <-> agregacion
HOS-0A-D05,INTERNET-MPLS,Campus Hospitalidad,Nube MPLS,agregacion,wan,Campus Hospitalidad <-> Nube MPLS,agregacion <-> wan
