estrategia,removed,f,E_mean,E_std,E_relativa_E0
puentes_P1_primero,63,0.3014354066985646,0.055415382639958925,0.0,0.26614881305382837
puentes_P1_primero,73,0.3492822966507177,0.04559150830337273,0.0,0.21896674248580825
puentes_P1_primero,84,0.4019138755980861,0.03418293100496491,0.0,0.1641736658714708
puentes_P1_primero,94,0.44976076555023925,0.025371297722992642,0.0,0.12185318323040269
puentes_P1_primero,104,0.49760765550239233,0.020829053244307477,0.0,0.10003770675058064
puentes_P1_primero,115,0.5502392344497608,0.01951292586885807,0.0,0.09371661462568523
puentes_P1_primero,125,0.5980861244019139,0.018485704502653653,0.0,0.0887830793086937
puentes_P1_primero,136,0.6507177033492823,0.017651087142612563,0.0,0.08477458186363805
puentes_P1_primero,146,0.6985645933014354,0.015898390686526275,0.0,0.07635673722902123
puentes_P1_primero,157,0.7511961722488039,0.010098870056497174,0.0,0.048502819085173135
puentes_P1_primero,167,0.7990430622009569,0.009051318267419964,0.0,0.043471640881699476
puentes_P1_primero,178,0.8516746411483254,0.006172958397534669,0.0,0.029647463795546076
puentes_P1_primero,188,0.8995215311004785,0.002728556753980483,0.0,0.013104703185758796
puentes_P1_primero,199,0.9521531100478469,0.0008453175826057182,0.0,0.00405988843794096
