nodo,campus,capa,grado_absoluto,centralidad_grado,intermediacion,cercania,vector_propio
ECOK1-1A-A102,Campus Central,acceso,1,0.005681818181818182,0.0,0.17759838546922302,0.027934417618452154
ECOK2-1A-A52,Campus Central,acceso,1,0.005681818181818182,0.0,0.17759838546922302,0.027934417618452154
ECOK3-0A-A63,Campus Central,acceso,1,0.005681818181818182,0.0,0.17795753286147623,0.029591494214347522
ENF-2B-A122,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.13163799551234107,1.1658536167549646e-05
ENF-2B-A22,Campus Paraiso,acceso,2,0.011363636363636364,0.011363636363636364,0.1514629948364888,7.306599657734012e-05
ENF-3A-A21,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15120274914089346,7.120574045658389e-05
FILOA-0B-A56,Campus Central,acceso,1,0.005681818181818182,0.0,0.1772406847935549,0.027143153119581438
FILOA-2A-A55,Campus Central,acceso,1,0.005681818181818182,0.0,0.1772406847935549,0.027143153119581438
FILOB-1B-A58,Campus Central,acceso,1,0.005681818181818182,0.0,0.17617617617617617,0.026395480240466503
FILOB-2A-A57,Campus Central,acceso,1,0.005681818181818182,0.0,0.17617617617617617,0.026395480240466503
FORTIGATE-1800F-BALZAY,Campus Balzay,interconexion,5,0.02840909090909091,0.1490211296639867,0.24076607387140903,0.05350266005125475
FORTIGATE-1800F-CENTRAL,Campus Central,interconexion,5,0.02840909090909091,0.18628854875283454,0.25958702064896755,0.20054629638839166
HOS-0A-A10,Campus Hospitalidad,acceso,1,0.005681818181818182,0.0,0.17959183673469387,0.001646707095565409
HOS-0A-A13,Campus Hospitalidad,acceso,1,0.005681818181818182,0.0,0.17959183673469387,0.001646707095565409
HOS-0A-D05,Campus Hospitalidad,agregacion,5,0.02840909090909091,0.045064935064935065,0.2186335403726708,0.010320189103782266
HOS-1A-A12,Campus Hospitalidad,acceso,1,0.005681818181818182,0.0,0.17959183673469387,0.001646707095565409
HOS-2A-A11,Campus Hospitalidad,acceso,1,0.005681818181818182,0.0,0.17959183673469387,0.001646707095565409
INTERNET-MPLS,Nube MPLS,wan,8,0.045454545454545456,0.3656771541950111,0.27586206896551724,0.05809152509007225
INV-1A-A161,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15172413793103448,7.52456380597425e-05
INV-1A-A61,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15172413793103448,7.52456380597425e-05
INV-1B-A162,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.13203300825206302,1.231998977870236e-05
INV-1B-A62,Campus Paraiso,acceso,2,0.011363636363636364,0.011363636363636364,0.15198618307426598,7.721143686360001e-05
JUR-0A-A59,Campus Central,acceso,1,0.005681818181818182,0.0,0.17688442211055277,0.02789193339450012
JUR-0A-A60,Campus Central,acceso,1,0.005681818181818182,0.0,0.17688442211055277,0.02789193339450012
JUR-1A-A61,Campus Central,acceso,1,0.005681818181818182,0.0,0.17688442211055277,0.02789193339450012
JUR-1A-A62,Campus Central,acceso,1,0.005681818181818182,0.0,0.17688442211055277,0.02789193339450012
LAB-1A-A18,Campus Yanuncay,acceso,1,0.005681818181818182,0.0,0.15813117699910154,0.0007755694782345353
LABMAC-1A-A13,Campus Yanuncay,acceso,1,0.005681818181818182,0.0,0.15813117699910154,0.0007755694782345353
LAC-0A-A17,Campus Yanuncay,acceso,1,0.005681818181818182,0.0,0.15813117699910154,0.0007755694782345353
MEDADM-0F-A16,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15251299826689774,8.480579658776961e-05
MEDADM-0G-A17,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15251299826689774,8.480579658776961e-05
MEDADM-1A-A11,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15251299826689774,8.480579658776961e-05
MEDADM-1B-A12,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15251299826689774,8.480579658776961e-05
MEDADM-1C-A13,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15251299826689774,8.480579658776961e-05
MEDADM-1D-A14,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15251299826689774,8.480579658776961e-05
MEDADM-1E-A15,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15251299826689774,8.480579658776961e-05
MEDADM-1H-A18,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15251299826689774,8.480579658776961e-05
MICRORED-1A-A109,Campus Balzay,acceso,1,0.005681818181818182,0.0,0.15985467756584923,0.001565836542261508
MON-0A-A103,Campus Central,acceso,1,0.005681818181818182,0.0,0.17795753286147623,0.029591494214347522
MON-0A-A104,Campus Central,acceso,1,0.005681818181818182,0.0,0.17795753286147623,0.029591494214347522
MON-1B-A67,Campus Central,acceso,2,0.011363636363636364,0.011363636363636364,0.17831813576494426,0.030364574478049022
MON-1B-A68,Campus Central,acceso,1,0.005681818181818182,0.0,0.1514629948364888,0.00484502355525824
MON-1C-A105,Campus Central,acceso,1,0.005681818181818182,0.0,0.17795753286147623,0.029591494214347522
MON-1C-A106,Campus Central,acceso,1,0.005681818181818182,0.0,0.17795753286147623,0.029591494214347522
ODO-0B-A152,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.13262999246420498,1.2699577161737016e-05
ODO-0B-A52,Campus Paraiso,acceso,2,0.011363636363636364,0.011363636363636364,0.1527777777777778,7.959037438565793e-05
ODO-0C-A153,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.1328301886792453,1.3040254965246428e-05
ODO-0C-A154,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15251299826689774,7.756400796117559e-05
ODO-0C-A53,Campus Paraiso,acceso,3,0.017045454545454544,0.02266233766233766,0.15304347826086956,8.172545909047163e-05
ODO-0C-A54,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.1328301886792453,1.3040254965246428e-05
ODO-1A-A151,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15251299826689774,7.756400796117559e-05
ODO-1A-A51,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15251299826689774,7.756400796117559e-05
PE1-BALZAY,Campus Balzay,wan,4,0.022727272727272728,0.005585497835497831,0.25106990014265335,0.04753169932772499
PE1-CENTRAL,Campus Central,wan,5,0.02840909090909091,0.06750984333127186,0.2561863173216885,0.07449359447976987
PE2-BALZAY,Campus Balzay,wan,5,0.02840909090909091,0.14603666769738194,0.23848238482384823,0.04138854070894663
PE2-CENTRAL,Campus Central,wan,6,0.03409090909090909,0.2881219593898162,0.26666666666666666,0.14490639508585484
POS-0A-A131,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15198618307426598,7.744251019401878e-05
POS-0A-A31,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15198618307426598,7.744251019401878e-05
POS-1B-A32,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15198618307426598,7.744251019401878e-05
POS-2C-A133,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.1322314049586777,1.2679684295306781e-05
POS-2C-A33,Campus Paraiso,acceso,2,0.011363636363636364,0.011363636363636364,0.1522491349480969,7.946570247797997e-05
POSLAB-0D-A34,Campus Paraiso,acceso,1,0.005681818181818182,0.0,0.15198618307426598,7.744251019401878e-05
POST-1A-A64,Campus Central,acceso,2,0.011363636363636364,0.0225974025974026,0.17795753286147623,0.027871292982163176
POST-1A-A65,Campus Central,acceso,2,0.011363636363636364,0.011363636363636364,0.1514629948364888,0.004563374530629049
POST-2A-A66,Campus Central,acceso,1,0.005681818181818182,0.0,0.13163799551234107,0.0007281398625817395
PRO-1A-A73,Campus Central,acceso,2,0.011363636363636364,0.011363636363636364,0.17688442211055277,0.027104059688696665
